5-FU,DASATINIB,A2058,31.1256441825,1
5-FU,MK-8669,A2058,32.336231656,3
ABT-888,SN-38,A2058,37.1975524441,0
ABT-888,SORAFENIB,A2058,36.1961652133,1
AZD1775,DASATINIB,A2058,34.97062024235,3
AZD1775,MK-4827,A2058,32.7687294711,1
AZD1775,MK-8669,A2058,38.93836298,2
AZD1775,MK-8776,A2058,69.5765508979,2
BEZ-235,MK-8776,A2058,65.61573897390001,2
CARBOPLATIN,DASATINIB,A2058,36.5563123529,4
CARBOPLATIN,MK-8776,A2058,32.6982278182,3
DASATINIB,BEZ-235,A2058,70.1804783863,3
DASATINIB,DINACICLIB,A2058,48.917163590600005,0
DASATINIB,MK-8669,A2058,84.4453477137,3
DASATINIB,MK-8776,A2058,56.6710870957,1
DASATINIB,SN-38,A2058,34.0149622635,2
DASATINIB,SORAFENIB,A2058,36.3294355627,1
ERLOTINIB,BEZ-235,A2058,30.4472347297,3
ERLOTINIB,DASATINIB,A2058,50.8561267311,2
ERLOTINIB,MK-8669,A2058,52.2617159832,4
ETOPOSIDE,GELDANAMYCIN,A2058,31.0615666545,4
ETOPOSIDE,MK-8776,A2058,57.6790160624,4
GELDANAMYCIN,BEZ-235,A2058,34.5733358528,4
GELDANAMYCIN,MK-8776,A2058,51.4196349082,4
GEMCITABINE,MK-8776,A2058,77.4605389165,2
L778123,BEZ-235,A2058,33.0346592892,3
L778123,DASATINIB,A2058,38.9468173946,2
L778123,MK-4827,A2058,32.1703331768,4
L778123,MK-8669,A2058,46.45451740575,2
L778123,MK-8776,A2058,34.4043337241,1
L778123,SN-38,A2058,40.8106020289,4
L778123,TEMOZOLOMIDE,A2058,38.5390724898,0
L778123,TOPOTECAN,A2058,45.103200011400006,4
LAPATINIB,BEZ-235,A2058,34.8835732671,3
LAPATINIB,DASATINIB,A2058,53.534424521800005,4
LAPATINIB,MK-2206,A2058,41.77696806285,3
LAPATINIB,MK-8669,A2058,32.537069207600005,1
LAPATINIB,PD325901,A2058,44.5395978501,0
MITOMYCINE,MK-8776,A2058,59.97535377525,1
MITOMYCINE,PD325901,A2058,31.465224899000003,0
MK-2206,BEZ-235,A2058,57.2908346809,4
MK-2206,DASATINIB,A2058,89.36773897120001,3
MK-2206,MK-8669,A2058,51.3989688437,0
MK-2206,PD325901,A2058,45.152886764,4
MK-4541,VINBLASTINE,A2058,33.8534471253,3
MK-4827,GELDANAMYCIN,A2058,33.0257256486,0
MK-4827,MK-2206,A2058,49.6182605652,1
MK-4827,MK-8776,A2058,59.7195734534,2
MK-5108,DASATINIB,A2058,31.7288985973,2
MK-8669,BEZ-235,A2058,86.5985705826,2
MK-8669,MK-8776,A2058,61.7862482518,3
MRK-003,DASATINIB,A2058,32.1882809709,1
MRK-003,VINBLASTINE,A2058,36.6426634756,0
